,rider_name,rider_url
345,BERNAL Egan,https://www.procyclingstats.com/rider/egan-bernal
346,KIRYIENKA Vasil,https://www.procyclingstats.com/rider/vasil-kiryienka
347,SWIFT Ben,https://www.procyclingstats.com/rider/ben-swift
348,CASTROVIEJO Jonathan,https://www.procyclingstats.com/rider/jonathan-castroviejo
349,VAN BAARLE Dylan,https://www.procyclingstats.com/rider/dylan-van-baarle
350,MOSCON Gianni,https://www.procyclingstats.com/rider/gianni-moscon
351,DE LA CRUZ David,https://www.procyclingstats.com/rider/david-de-la-cruz
352,KNEES Christian,https://www.procyclingstats.com/rider/christian-knees
353,GEOGHEGAN HART Tao,https://www.procyclingstats.com/rider/tao-geoghegan-hart
354,ROSA Diego,https://www.procyclingstats.com/rider/diego-rosa
355,STANNARD Ian,https://www.procyclingstats.com/rider/ian-stannard
356,GANNA Filippo,https://www.procyclingstats.com/rider/filippo-ganna
357,ROWE Luke,https://www.procyclingstats.com/rider/luke-rowe
358,SIVAKOV Pavel,https://www.procyclingstats.com/rider/pavel-sivakov
359,GOŁAŚ Michał,https://www.procyclingstats.com/rider/michal-golas
360,ELISSONDE Kenny,https://www.procyclingstats.com/rider/kenny-elissonde
361,SOSA Iván Ramiro,https://www.procyclingstats.com/rider/ivan-ramiro-sosa
362,HALVORSEN Kristoffer,https://www.procyclingstats.com/rider/kristoffer-halvorsen
363,PUCCIO Salvatore,https://www.procyclingstats.com/rider/salvatore-puccio
364,DUNBAR Eddie,https://www.procyclingstats.com/rider/edward-irl-dunbar
365,DOULL Owain,https://www.procyclingstats.com/rider/owain-doull
366,NARVÁEZ Jhonatan,https://www.procyclingstats.com/rider/jhonatan-narvaez
367,HENAO Sebastián,https://www.procyclingstats.com/rider/sebastian-henao
368,LAWLESS Chris,https://www.procyclingstats.com/rider/christopher-lawless
